ICD10,Description
T438X3A,"Poisoning by other psychotropic drugs, assault, init encntr"
T438X3S,"Poisoning by other psychotropic drugs, assault, sequela"
T438X3S,"Poisoning by other psychotropic drugs, assault, sequela"
T4393XA,"Poisoning by unsp psychotropic drug, assault, init encntr"
T4393XA,"Poisoning by unsp psychotropic drug, assault, init encntr"
T4393XS,"Poisoning by unspecified psychotropic drug, assault, sequela"
T4393XS,"Poisoning by unspecified psychotropic drug, assault, sequela"
T440X3A,"Poisoning by anticholinesterase agents, assault, init encntr"
T440X3A,"Poisoning by anticholinesterase agents, assault, init encntr"
T440X3S,"Poisoning by anticholinesterase agents, assault, sequela"
T440X3S,"Poisoning by anticholinesterase agents, assault, sequela"
T441X3A,"Poisoning by oth parasympathomimetics, assault, init encntr"
T441X3A,"Poisoning by oth parasympathomimetics, assault, init encntr"
T441X3S,"Poisoning by other parasympathomimetics, assault, sequela"
T441X3S,"Poisoning by other parasympathomimetics, assault, sequela"
T442X3A,"Poisoning by ganglionic blocking drugs, assault, init encntr"
T442X3A,"Poisoning by ganglionic blocking drugs, assault, init encntr"
T442X3S,"Poisoning by ganglionic blocking drugs, assault, sequela"
T442X3S,"Poisoning by ganglionic blocking drugs, assault, sequela"
T443X3A,"Poisoning by oth parasympath and spasmolytics, assault, init"
T443X3A,"Poisoning by oth parasympath and spasmolytics, assault, init"
T443X3S,"Poisn by oth parasympath and spasmolytics, assault, sequela"
T443X3S,"Poisn by oth parasympath and spasmolytics, assault, sequela"
T444X3A,"Poisoning by predom alpha-adrenocpt agonists, assault, init"
T444X3A,"Poisoning by predom alpha-adrenocpt agonists, assault, init"
T444X3S,"Poisn by predom alpha-adrenocpt agonists, assault, sequela"
T444X3S,"Poisn by predom alpha-adrenocpt agonists, assault, sequela"
T445X3A,"Poisoning by predom beta-adrenocpt agonists, assault, init"
T445X3A,"Poisoning by predom beta-adrenocpt agonists, assault, init"
T445X3S,"Poisn by predom beta-adrenocpt agonists, assault, sequela"
T445X3S,"Poisn by predom beta-adrenocpt agonists, assault, sequela"
T446X3A,"Poisoning by alpha-adrenoreceptor antagonists, assault, init"
T446X3A,"Poisoning by alpha-adrenoreceptor antagonists, assault, init"
T446X3S,"Poisoning by alpha-adrenocpt antagonists, assault, sequela"
T446X3S,"Poisoning by alpha-adrenocpt antagonists, assault, sequela"
T447X3A,"Poisoning by beta-adrenoreceptor antagonists, assault, init"
T447X3A,"Poisoning by beta-adrenoreceptor antagonists, assault, init"
T447X3S,"Poisoning by beta-adrenocpt antagonists, assault, sequela"
T447X3S,"Poisoning by beta-adrenocpt antagonists, assault, sequela"
T448X3A,"Poisn by centr-acting/adren-neurn-block agnt, assault, init"
T448X3A,"Poisn by centr-acting/adren-neurn-block agnt, assault, init"
T448X3S,"Poisn by centr-acting/adren-neurn-block agnt, asslt, sequela"
T448X3S,"Poisn by centr-acting/adren-neurn-block agnt, asslt, sequela"
T44903A,"Poisn by unsp drugs aff the autonm nervous sys, asslt, init"
T44903A,"Poisn by unsp drugs aff the autonm nervous sys, asslt, init"
T44903S,"Poisn by unsp drugs aff the autonm nrv sys, asslt, sequela"
T44903S,"Poisn by unsp drugs aff the autonm nrv sys, asslt, sequela"
T44993A,"Poisn by oth drug aff the autonm nervous sys, assault, init"
T44993A,"Poisn by oth drug aff the autonm nervous sys, assault, init"
T44993S,"Poisn by oth drug aff the autonm nervous sys, asslt, sequela"
T44993S,"Poisn by oth drug aff the autonm nervous sys, asslt, sequela"
T450X3A,"Poisoning by antiallerg/antiemetic, assault, init"
T450X3A,"Poisoning by antiallerg/antiemetic, assault, init"
T450X3S,"Poisoning by antiallerg/antiemetic, assault, sequela"
T450X3S,"Poisoning by antiallerg/antiemetic, assault, sequela"
T451X3A,"Poisoning by antineopl and immunosup drugs, assault, init"
T451X3A,"Poisoning by antineopl and immunosup drugs, assault, init"
T451X3S,"Poisoning by antineopl and immunosup drugs, assault, sequela"
T451X3S,"Poisoning by antineopl and immunosup drugs, assault, sequela"
T452X3A,"Poisoning by vitamins, assault, initial encounter"
T452X3A,"Poisoning by vitamins, assault, initial encounter"
T452X3S,"Poisoning by vitamins, assault, sequela"
T452X3S,"Poisoning by vitamins, assault, sequela"
T453X3A,"Poisoning by enzymes, assault, initial encounter"
T453X3A,"Poisoning by enzymes, assault, initial encounter"
T453X3S,"Poisoning by enzymes, assault, sequela"
T453X3S,"Poisoning by enzymes, assault, sequela"
T454X3A,"Poisoning by iron and its compounds, assault, init encntr"
T454X3A,"Poisoning by iron and its compounds, assault, init encntr"
T454X3S,"Poisoning by iron and its compounds, assault, sequela"
T454X3S,"Poisoning by iron and its compounds, assault, sequela"
T45513A,"Poisoning by anticoagulants, assault, initial encounter"
T45513A,"Poisoning by anticoagulants, assault, initial encounter"
T45513S,"Poisoning by anticoagulants, assault, sequela"
T45513S,"Poisoning by anticoagulants, assault, sequela"
T45523A,"Poisoning by antithrombotic drugs, assault, init encntr"
T45523A,"Poisoning by antithrombotic drugs, assault, init encntr"
T45523S,"Poisoning by antithrombotic drugs, assault, sequela"
T45523S,"Poisoning by antithrombotic drugs, assault, sequela"
T45603A,"Poisoning by unsp fibrin-affct drugs, assault, init"
T45603A,"Poisoning by unsp fibrin-affct drugs, assault, init"
T45603S,"Poisoning by unsp fibrin-affct drugs, assault, sequela"
T45603S,"Poisoning by unsp fibrin-affct drugs, assault, sequela"
T45613A,"Poisoning by thrombolytic drug, assault, initial encounter"
T45613A,"Poisoning by thrombolytic drug, assault, initial encounter"
T45613S,"Poisoning by thrombolytic drug, assault, sequela"
T45613S,"Poisoning by thrombolytic drug, assault, sequela"
T45623A,"Poisoning by hemostatic drug, assault, initial encounter"
T45623A,"Poisoning by hemostatic drug, assault, initial encounter"
T45623S,"Poisoning by hemostatic drug, assault, sequela"
T45623S,"Poisoning by hemostatic drug, assault, sequela"
T45693A,"Poisoning by oth fibrinolysis-affecting drugs, assault, init"
T45693A,"Poisoning by oth fibrinolysis-affecting drugs, assault, init"
T45693S,"Poisoning by oth fibrin-affct drugs, assault, sequela"
T45693S,"Poisoning by oth fibrin-affct drugs, assault, sequela"
T457X3A,"Poisn by anticoag antag, vit K and oth coag, assault, init"
T457X3A,"Poisn by anticoag antag, vit K and oth coag, assault, init"
T457X3A,"Poisn by anticoag antag, vit K and oth coag, assault, init"
T457X3S,"Poisn by anticoag antag, vit K and oth coag, asslt, sequela"
T457X3S,"Poisn by anticoag antag, vit K and oth coag, asslt, sequela"
T458X3A,"Poisn by oth prim sys and hematolog agents, assault, init"
T458X3A,"Poisn by oth prim sys and hematolog agents, assault, init"
T458X3A,"Poisn by oth prim sys and hematolog agents, assault, init"
T458X3S,"Poisn by oth prim sys and hematolog agents, assault, sequela"
T458X3S,"Poisn by oth prim sys and hematolog agents, assault, sequela"
T4593XA,"Poisn by unsp prim sys and hematolog agent, assault, init"
T4593XA,"Poisn by unsp prim sys and hematolog agent, assault, init"
T4593XA,"Poisn by unsp prim sys and hematolog agent, assault, init"
T4593XS,"Poisn by unsp prim sys and hematolog agent, assault, sequela"
T4593XS,"Poisn by unsp prim sys and hematolog agent, assault, sequela"
T460X3A,"Poisn by cardi-stim glycos/drug simlar act, assault, init"
T460X3A,"Poisn by cardi-stim glycos/drug simlar act, assault, init"
T460X3S,"Poisn by cardi-stim glycos/drug simlar act, assault, sequela"
T460X3S,"Poisn by cardi-stim glycos/drug simlar act, assault, sequela"
T461X3A,"Poisoning by calcium-channel blockers, assault, init encntr"
T461X3A,"Poisoning by calcium-channel blockers, assault, init encntr"
T461X3S,"Poisoning by calcium-channel blockers, assault, sequela"
T461X3S,"Poisoning by calcium-channel blockers, assault, sequela"
T462X3A,"Poisoning by oth antidysrhythmic drugs, assault, init encntr"
T462X3A,"Poisoning by oth antidysrhythmic drugs, assault, init encntr"
T462X3S,"Poisoning by other antidysrhythmic drugs, assault, sequela"
T462X3S,"Poisoning by other antidysrhythmic drugs, assault, sequela"
T463X3A,"Poisoning by coronary vasodilators, assault, init encntr"
T463X3A,"Poisoning by coronary vasodilators, assault, init encntr"
T463X3S,"Poisoning by coronary vasodilators, assault, sequela"
T463X3S,"Poisoning by coronary vasodilators, assault, sequela"
T464X3A,"Poisoning by angiotens-convert-enzyme inhibtr, assault, init"
T464X3A,"Poisoning by angiotens-convert-enzyme inhibtr, assault, init"
T464X3S,"Poisn by angiotens-convert-enzyme inhibtr, assault, sequela"
T464X3S,"Poisn by angiotens-convert-enzyme inhibtr, assault, sequela"
T465X3A,"Poisoning by oth antihypertensive drugs, assault, init"
T465X3A,"Poisoning by oth antihypertensive drugs, assault, init"
T465X3S,"Poisoning by other antihypertensive drugs, assault, sequela"
T465X3S,"Poisoning by other antihypertensive drugs, assault, sequela"
T466X3A,"Poisn by antihyperlip and antiarterio drugs, assault, init"
T466X3A,"Poisn by antihyperlip and antiarterio drugs, assault, init"
T466X3S,"Poisn by antihyperlip and antiarterio drugs, asslt, sequela"
T466X3S,"Poisn by antihyperlip and antiarterio drugs, asslt, sequela"
T467X3A,"Poisoning by peripheral vasodilators, assault, init encntr"
T467X3A,"Poisoning by peripheral vasodilators, assault, init encntr"
T467X3S,"Poisoning by peripheral vasodilators, assault, sequela"
T467X3S,"Poisoning by peripheral vasodilators, assault, sequela"
T468X3A,"Poisn by antivaric drugs, inc scler agents, assault, init"
T468X3A,"Poisn by antivaric drugs, inc scler agents, assault, init"
T468X3S,"Poisn by antivaric drugs, inc scler agents, assault, sequela"
T468X3S,"Poisn by antivaric drugs, inc scler agents, assault, sequela"
T46903A,"Poisn by unsp agents aff the cardiovasc sys, assault, init"
T46903A,"Poisn by unsp agents aff the cardiovasc sys, assault, init"
T46903S,"Poisn by unsp agents aff the cardiovasc sys, asslt, sequela"
T46903S,"Poisn by unsp agents aff the cardiovasc sys, asslt, sequela"
T46993A,"Poisn by oth agents aff the cardiovasc sys, assault, init"
T46993A,"Poisn by oth agents aff the cardiovasc sys, assault, init"
T46993S,"Poisn by oth agents aff the cardiovasc sys, assault, sequela"
T46993S,"Poisn by oth agents aff the cardiovasc sys, assault, sequela"
T470X3A,"Poisoning by histamine H2-receptor blockers, assault, init"
T470X3A,"Poisoning by histamine H2-receptor blockers, assault, init"
T470X3S,"Poisn by histamine H2-receptor blockers, assault, sequela"
T470X3S,"Poisn by histamine H2-receptor blockers, assault, sequela"
T471X3A,"Poisn by oth antacids and anti-gstrc-sec drugs, asslt, init"
T471X3A,"Poisn by oth antacids and anti-gstrc-sec drugs, asslt, init"
T471X3S,"Poisn by oth antacids and anti-gstrc-sec drugs, asslt, sqla"
T471X3S,"Poisn by oth antacids and anti-gstrc-sec drugs, asslt, sqla"
T472X3A,"Poisoning by stimulant laxatives, assault, initial encounter"
T472X3A,"Poisoning by stimulant laxatives, assault, initial encounter"
T472X3S,"Poisoning by stimulant laxatives, assault, sequela"
T472X3S,"Poisoning by stimulant laxatives, assault, sequela"
T473X3A,"Poisoning by saline and osmotic laxatives, assault, init"
T473X3A,"Poisoning by saline and osmotic laxatives, assault, init"
T473X3S,"Poisoning by saline and osmotic laxatives, assault, sequela"
T473X3S,"Poisoning by saline and osmotic laxatives, assault, sequela"
T474X3A,"Poisoning by other laxatives, assault, initial encounter"
T474X3A,"Poisoning by other laxatives, assault, initial encounter"
T474X3S,"Poisoning by other laxatives, assault, sequela"
T474X3S,"Poisoning by other laxatives, assault, sequela"
T475X3A,"Poisoning by digestants, assault, initial encounter"
T475X3A,"Poisoning by digestants, assault, initial encounter"
T475X3S,"Poisoning by digestants, assault, sequela"
T475X3S,"Poisoning by digestants, assault, sequela"
T476X3A,"Poisoning by antidiarrheal drugs, assault, initial encounter"
T476X3A,"Poisoning by antidiarrheal drugs, assault, initial encounter"
T476X3S,"Poisoning by antidiarrheal drugs, assault, sequela"
T476X3S,"Poisoning by antidiarrheal drugs, assault, sequela"
T477X3A,"Poisoning by emetics, assault, initial encounter"
T477X3A,"Poisoning by emetics, assault, initial encounter"
T477X3S,"Poisoning by emetics, assault, sequela"
T477X3S,"Poisoning by emetics, assault, sequela"
T478X3A,"Poisoning by oth agents aff GI sys, assault, init"
T478X3A,"Poisoning by oth agents aff GI sys, assault, init"
T478X3S,"Poisoning by oth agents aff GI sys, assault, sequela"
T478X3S,"Poisoning by oth agents aff GI sys, assault, sequela"
T4793XA,"Poisoning by unsp agents aff the GI sys, assault, init"
T4793XA,"Poisoning by unsp agents aff the GI sys, assault, init"
T4793XS,"Poisoning by unsp agents aff the GI sys, assault, sequela"
T4793XS,"Poisoning by unsp agents aff the GI sys, assault, sequela"
T480X3A,"Poisoning by oxytocic drugs, assault, initial encounter"
T480X3A,"Poisoning by oxytocic drugs, assault, initial encounter"
T480X3S,"Poisoning by oxytocic drugs, assault, sequela"
T480X3S,"Poisoning by oxytocic drugs, assault, sequela"
T481X3A,"Poisoning by skeletal muscle relaxants, assault, init encntr"
T481X3A,"Poisoning by skeletal muscle relaxants, assault, init encntr"
T481X3S,"Poisoning by skeletal muscle relaxants, assault, sequela"
T481X3S,"Poisoning by skeletal muscle relaxants, assault, sequela"
T48203A,"Poisoning by unsp drugs acting on muscles, assault, init"
T48203A,"Poisoning by unsp drugs acting on muscles, assault, init"
T48203S,"Poisoning by unsp drugs acting on muscles, assault, sequela"
T48203S,"Poisoning by unsp drugs acting on muscles, assault, sequela"
T48293A,"Poisoning by oth drugs acting on muscles, assault, init"
T48293A,"Poisoning by oth drugs acting on muscles, assault, init"
T48293S,"Poisoning by other drugs acting on muscles, assault, sequela"
T48293S,"Poisoning by other drugs acting on muscles, assault, sequela"
T483X3A,"Poisoning by antitussives, assault, initial encounter"
T483X3A,"Poisoning by antitussives, assault, initial encounter"
T483X3S,"Poisoning by antitussives, assault, sequela"
T483X3S,"Poisoning by antitussives, assault, sequela"
T484X3A,"Poisoning by expectorants, assault, initial encounter"
T484X3A,"Poisoning by expectorants, assault, initial encounter"
T484X3S,"Poisoning by expectorants, assault, sequela"
T484X3S,"Poisoning by expectorants, assault, sequela"
T485X3A,"Poisoning by oth anti-common-cold drugs, assault, init"
T485X3A,"Poisoning by oth anti-common-cold drugs, assault, init"
T485X3S,"Poisoning by other anti-common-cold drugs, assault, sequela"
T485X3S,"Poisoning by other anti-common-cold drugs, assault, sequela"
T486X3A,"Poisoning by antiasthmatics, assault, initial encounter"
T486X3A,"Poisoning by antiasthmatics, assault, initial encounter"
T486X3S,"Poisoning by antiasthmatics, assault, sequela"
T486X3S,"Poisoning by antiasthmatics, assault, sequela"
T48903A,"Poisn by unsp agents prim act on the resp sys, asslt, init"
T48903A,"Poisn by unsp agents prim act on the resp sys, asslt, init"
T48903S,"Poisn by unsp agents prim act on the resp sys, asslt, sqla"
T48903S,"Poisn by unsp agents prim act on the resp sys, asslt, sqla"
T48993A,"Poisn by oth agents prim acting on the resp sys, asslt, init"
T48993A,"Poisn by oth agents prim acting on the resp sys, asslt, init"
T48993S,"Poisn by oth agents prim acting on the resp sys, asslt, sqla"
T48993S,"Poisn by oth agents prim acting on the resp sys, asslt, sqla"
T490X3A,"Poisn by local antifung/infect/inflamm drugs, assault, init"
T490X3A,"Poisn by local antifung/infect/inflamm drugs, assault, init"
T490X3S,"Poisn by local antifung/infect/inflamm drugs, asslt, sequela"
T490X3S,"Poisn by local antifung/infect/inflamm drugs, asslt, sequela"
T491X3A,"Poisoning by antipruritics, assault, initial encounter"
T491X3A,"Poisoning by antipruritics, assault, initial encounter"
T491X3S,"Poisoning by antipruritics, assault, sequela"
T491X3S,"Poisoning by antipruritics, assault, sequela"
T492X3A,"Poisoning by local astringents/detergents, assault, init"
T492X3A,"Poisoning by local astringents/detergents, assault, init"
T492X3S,"Poisoning by local astringents/detergents, assault, sequela"
T492X3S,"Poisoning by local astringents/detergents, assault, sequela"
T493X3A,"Poisn by emollients, demulcents and protect, assault, init"
T493X3A,"Poisn by emollients, demulcents and protect, assault, init"
T493X3S,"Poisn by emollients, demulcents and protect, asslt, sequela"
T493X3S,"Poisn by emollients, demulcents and protect, asslt, sequela"
T494X3A,"Poisn by keratolyt/keratplst/hair trmt drug, assault, init"
T494X3A,"Poisn by keratolyt/keratplst/hair trmt drug, assault, init"
T494X3S,"Poisn by keratolyt/keratplst/hair trmt drug, asslt, sequela"
T494X3S,"Poisn by keratolyt/keratplst/hair trmt drug, asslt, sequela"
T495X3A,"Poisoning by opth drugs and preparations, assault, init"
T495X3A,"Poisoning by opth drugs and preparations, assault, init"
T495X3S,"Poisoning by opth drugs and preparations, assault, sequela"
T495X3S,"Poisoning by opth drugs and preparations, assault, sequela"
T496X3A,"Poisoning by otorhino drugs and preparations, assault, init"
T496X3A,"Poisoning by otorhino drugs and preparations, assault, init"
T496X3S,"Poisoning by otorhino drugs and prep, assault, sequela"
T496X3S,"Poisoning by otorhino drugs and prep, assault, sequela"
T497X3A,"Poisoning by dental drugs, topically applied, assault, init"
T497X3A,"Poisoning by dental drugs, topically applied, assault, init"
T497X3S,"Poisn by dental drugs, topically applied, assault, sequela"
T497X3S,"Poisn by dental drugs, topically applied, assault, sequela"
T498X3A,"Poisoning by other topical agents, assault, init encntr"
T498X3A,"Poisoning by other topical agents, assault, init encntr"
T498X3S,"Poisoning by other topical agents, assault, sequela"
T498X3S,"Poisoning by other topical agents, assault, sequela"
T4993XA,"Poisoning by unspecified topical agent, assault, init encntr"
T4993XA,"Poisoning by unspecified topical agent, assault, init encntr"
T4993XS,"Poisoning by unspecified topical agent, assault, sequela"
T4993XS,"Poisoning by unspecified topical agent, assault, sequela"
T500X3A,"Poisoning by mineralocorticoids and antag, assault, init"
T500X3A,"Poisoning by mineralocorticoids and antag, assault, init"
T500X3S,"Poisoning by mineralocorticoids and antag, assault, sequela"
T500X3S,"Poisoning by mineralocorticoids and antag, assault, sequela"
T501X3A,"Poisoning by loop diuretics, assault, initial encounter"
T501X3A,"Poisoning by loop diuretics, assault, initial encounter"
T501X3S,"Poisoning by loop [high-ceiling] diuretics, assault, sequela"
T501X3S,"Poisoning by loop [high-ceiling] diuretics, assault, sequela"
T502X3A,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc, asslt, init"
T502X3A,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc, asslt, init"
T502X3A,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc, asslt, init"
T502X3S,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc, asslt, sqla"
T502X3S,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc, asslt, sqla"
T503X3A,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, init"
T503X3A,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, init"
T503X3S,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, sequela"
T503X3S,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, sequela"
T504X3A,"Poisoning by drugs affecting uric acid metab, assault, init"
T504X3A,"Poisoning by drugs affecting uric acid metab, assault, init"
T504X3S,"Poisoning by drugs aff uric acid metab, assault, sequela"
T504X3S,"Poisoning by drugs aff uric acid metab, assault, sequela"
T505X3A,"Poisoning by appetite depressants, assault, init encntr"
T505X3A,"Poisoning by appetite depressants, assault, init encntr"
T505X3S,"Poisoning by appetite depressants, assault, sequela"
T505X3S,"Poisoning by appetite depressants, assault, sequela"
T506X3A,"Poisoning by antidotes and chelating agents, assault, init"
T506X3A,"Poisoning by antidotes and chelating agents, assault, init"
T506X3S,"Poisn by antidotes and chelating agents, assault, sequela"
T506X3S,"Poisn by antidotes and chelating agents, assault, sequela"
T507X3A,"Poisn by analeptics and opioid receptor antag, assault, init"
T507X3A,"Poisn by analeptics and opioid receptor antag, assault, init"
T507X3A,"Poisn by analeptics and opioid receptor antag, assault, init"
T507X3S,"Poisn by analeptics and opioid receptor antag, asslt, sqla"
T507X3S,"Poisn by analeptics and opioid receptor antag, asslt, sqla"
T508X3A,"Poisoning by diagnostic agents, assault, initial encounter"
T508X3A,"Poisoning by diagnostic agents, assault, initial encounter"
T508X3S,"Poisoning by diagnostic agents, assault, sequela"
T508X3S,"Poisoning by diagnostic agents, assault, sequela"
T50903A,"Poisoning by unsp drug/meds/biol subst, assault, init"
T50903A,"Poisoning by unsp drug/meds/biol subst, assault, init"
T50903S,"Poisoning by unsp drug/meds/biol subst, assault, sequela"
T50903S,"Poisoning by unsp drug/meds/biol subst, assault, sequela"
T50993A,"Poisoning by oth drug/meds/biol subst, assault, init"
T50993A,"Poisoning by oth drug/meds/biol subst, assault, init"
T50993S,"Poisoning by oth drug/meds/biol subst, assault, sequela"
T50993S,"Poisoning by oth drug/meds/biol subst, assault, sequela"
T50A13A,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, init"
T50A13A,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, init"
T50A13S,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, sqla"
T50A13S,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, sqla"
T50A23A,"Poisn by mixed bact vaccines w/o a pertuss, assault, init"
T50A23A,"Poisn by mixed bact vaccines w/o a pertuss, assault, init"
T50A23S,"Poisn by mixed bact vaccines w/o a pertuss, assault, sequela"
T50A23S,"Poisn by mixed bact vaccines w/o a pertuss, assault, sequela"
T50A93A,"Poisoning by other bacterial vaccines, assault, init encntr"
T50A93A,"Poisoning by other bacterial vaccines, assault, init encntr"
T50A93S,"Poisoning by other bacterial vaccines, assault, sequela"
T50A93S,"Poisoning by other bacterial vaccines, assault, sequela"
T50B13A,"Poisoning by smallpox vaccines, assault, initial encounter"
T50B13A,"Poisoning by smallpox vaccines, assault, initial encounter"
T50B13S,"Poisoning by smallpox vaccines, assault, sequela"
T50B13S,"Poisoning by smallpox vaccines, assault, sequela"
T50B93A,"Poisoning by other viral vaccines, assault, init encntr"
T50B93A,"Poisoning by other viral vaccines, assault, init encntr"
T50B93S,"Poisoning by other viral vaccines, assault, sequela"
T50B93S,"Poisoning by other viral vaccines, assault, sequela"
T50Z13A,"Poisoning by immunoglobulin, assault, initial encounter"
T50Z13A,"Poisoning by immunoglobulin, assault, initial encounter"
T50Z13S,"Poisoning by immunoglobulin, assault, sequela"
T50Z13S,"Poisoning by immunoglobulin, assault, sequela"
T50Z93A,"Poisoning by oth vaccines and biolg substnc, assault, init"
T50Z93A,"Poisoning by oth vaccines and biolg substnc, assault, init"
T50Z93S,"Poisn by oth vaccines and biolg substnc, assault, sequela"
T50Z93S,"Poisn by oth vaccines and biolg substnc, assault, sequela"
T510X3A,"Toxic effect of ethanol, assault, initial encounter"
T510X3A,"Toxic effect of ethanol, assault, initial encounter"
T511X3A,"Toxic effect of methanol, assault, initial encounter"
T511X3A,"Toxic effect of methanol, assault, initial encounter"
T512X3A,"Toxic effect of 2-Propanol, assault, initial encounter"
T512X3A,"Toxic effect of 2-Propanol, assault, initial encounter"
T513X3A,"Toxic effect of fusel oil, assault, initial encounter"
T513X3A,"Toxic effect of fusel oil, assault, initial encounter"
T518X3A,"Toxic effect of other alcohols, assault, initial encounter"
T518X3A,"Toxic effect of other alcohols, assault, initial encounter"
T5193XA,"Toxic effect of unspecified alcohol, assault, init encntr"
T5193XA,"Toxic effect of unspecified alcohol, assault, init encntr"
T520X3A,"Toxic effect of petroleum products, assault, init encntr"
T520X3A,"Toxic effect of petroleum products, assault, init encntr"
T521X3A,"Toxic effect of benzene, assault, initial encounter"
T521X3A,"Toxic effect of benzene, assault, initial encounter"
T522X3A,"Toxic effect of homologues of benzene, assault, init encntr"
T522X3A,"Toxic effect of homologues of benzene, assault, init encntr"
T523X3A,"Toxic effect of glycols, assault, initial encounter"
T523X3A,"Toxic effect of glycols, assault, initial encounter"
T524X3A,"Toxic effect of ketones, assault, initial encounter"
T524X3A,"Toxic effect of ketones, assault, initial encounter"
T528X3A,"Toxic effect of other organic solvents, assault, init encntr"
T528X3A,"Toxic effect of other organic solvents, assault, init encntr"
T5293XA,"Toxic effect of unsp organic solvent, assault, init encntr"
T5293XA,"Toxic effect of unsp organic solvent, assault, init encntr"
T530X3A,"Toxic effect of carbon tetrachloride, assault, init encntr"
T530X3A,"Toxic effect of carbon tetrachloride, assault, init encntr"
T531X3A,"Toxic effect of chloroform, assault, initial encounter"
T531X3A,"Toxic effect of chloroform, assault, initial encounter"
T532X3A,"Toxic effect of trichloroethylene, assault, init encntr"
T532X3A,"Toxic effect of trichloroethylene, assault, init encntr"
T533X3A,"Toxic effect of tetrachloroethylene, assault, init encntr"
T533X3A,"Toxic effect of tetrachloroethylene, assault, init encntr"
T534X3A,"Toxic effect of dichloromethane, assault, initial encounter"
T534X3A,"Toxic effect of dichloromethane, assault, initial encounter"
T535X3A,"Toxic effect of chlorofluorocarbons, assault, init encntr"
T535X3A,"Toxic effect of chlorofluorocarbons, assault, init encntr"
T536X3A,"Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, init"
T536X3A,"Toxic eff of halgn deriv of aliphatic hydrocrb, asslt, init"
T537X3A,"Toxic eff of halgn deriv of aromatic hydrocrb, asslt, init"
T537X3A,"Toxic eff of halgn deriv of aromatic hydrocrb, asslt, init"
T5393XA,"Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, init"
T5393XA,"Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, init"
T5393XA,"Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, init"
T540X3A,"Toxic effect of phenol and phenol homologues, assault, init"
T540X3A,"Toxic effect of phenol and phenol homologues, assault, init"
T541X3A,"Toxic effect of corrosive organic compounds, assault, init"
T541X3A,"Toxic effect of corrosive organic compounds, assault, init"
T542X3A,"Tox eff of corrosv acids and acid-like substnc, asslt, init"
T542X3A,"Tox eff of corrosv acids and acid-like substnc, asslt, init"
T543X3A,"Tox eff of corrosv alkalis and alk-like substnc, asslt, init"
T543X3A,"Tox eff of corrosv alkalis and alk-like substnc, asslt, init"
T5493XA,"Toxic effect of unsp corrosive substance, assault, init"
T5493XA,"Toxic effect of unsp corrosive substance, assault, init"
T550X3A,"Toxic effect of soaps, assault, initial encounter"
T550X3A,"Toxic effect of soaps, assault, initial encounter"
T551X3A,"Toxic effect of detergents, assault, initial encounter"
T551X3A,"Toxic effect of detergents, assault, initial encounter"
T560X3A,"Toxic effect of lead and its compounds, assault, init encntr"
T560X3A,"Toxic effect of lead and its compounds, assault, init encntr"
T560X3A,"Toxic effect of lead and its compounds, assault, init encntr"
T560X3A,"Toxic effect of lead and its compounds, assault, init encntr"
T560X3A,"Toxic effect of lead and its compounds, assault, init encntr"
T561X3A,"Toxic effect of mercury and its compounds, assault, init"
T561X3A,"Toxic effect of mercury and its compounds, assault, init"
T562X3A,"Toxic effect of chromium and its compounds, assault, init"
T562X3A,"Toxic effect of chromium and its compounds, assault, init"
T563X3A,"Toxic effect of cadmium and its compounds, assault, init"
T563X3A,"Toxic effect of cadmium and its compounds, assault, init"
T564X3A,"Toxic effect of copper and its compounds, assault, init"
T564X3A,"Toxic effect of copper and its compounds, assault, init"
T565X3A,"Toxic effect of zinc and its compounds, assault, init encntr"
T565X3A,"Toxic effect of zinc and its compounds, assault, init encntr"
T566X3A,"Toxic effect of tin and its compounds, assault, init encntr"
T566X3A,"Toxic effect of tin and its compounds, assault, init encntr"
T567X3A,"Toxic effect of beryllium and its compounds, assault, init"
T567X3A,"Toxic effect of beryllium and its compounds, assault, init"
T56813A,"Toxic effect of thallium, assault, initial encounter"
T56813A,"Toxic effect of thallium, assault, initial encounter"
T56893A,"Toxic effect of other metals, assault, initial encounter"
T56893A,"Toxic effect of other metals, assault, initial encounter"
T5693XA,"Toxic effect of unspecified metal, assault, init encntr"
T5693XA,"Toxic effect of unspecified metal, assault, init encntr"
T570X3A,"Toxic effect of arsenic and its compounds, assault, init"
T570X3A,"Toxic effect of arsenic and its compounds, assault, init"
